time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/n_updates,train/policy_gradient_loss,train/value_loss,rollout/ep_len_mean,train/clip_fraction,train/std,train/learning_rate,rollout/ep_rew_mean,train/clip_range,train/loss,train/explained_variance,train/approx_kl,train/entropy_loss
133,161792,79,1210,390,-0.00214630716945976,0.006530748354271055,300.0,0.0572265625,0.3673895597457886,0.0002,231.56978692999996,0.2,-0.0009911630768328905,0.6579331159591675,0.0034648434,-25.879390144348143
135,163840,80,1212,395,-0.0018882771953940391,0.007989585702307522,300.0,0.04208984375,0.36748459935188293,0.0002,231.73713383000003,0.2,-0.004214960616081953,0.5925922989845276,0.0035112393,-25.890245532989503
136,165888,81,1214,400,-0.004474098375067115,0.006705154455266893,300.0,0.087890625,0.3674868643283844,0.0002,230.80157631999995,0.2,-0.008667195215821266,0.539141058921814,0.0117280595,-25.901362133026122
138,167936,82,1216,405,-0.002727180696092546,0.005272966669872403,300.0,0.05654296875,0.3673853576183319,0.0002,230.80157631999995,0.2,-0.002492767758667469,0.6310096979141235,0.0042941533,-25.892881870269775
139,169984,83,1217,410,-0.00397428791038692,0.004536524030845613,300.0,0.0490234375,0.36737340688705444,0.0002,230.47061119999995,0.2,-0.005679288879036903,0.5881640315055847,0.0038191949,-25.88028049468994
141,172032,84,1219,415,-0.0013491748948581516,0.005787870776839554,300.0,0.05859375,0.3673499822616577,0.0002,228.85103242999998,0.2,0.0034798840060830116,0.6184661388397217,0.0065998975,-25.879532241821288
142,174080,85,1221,420,-0.0034991657827049493,0.007690285355783999,300.0,0.0169921875,0.36732348799705505,0.0002,229.11231047,0.2,0.00215996615588665,0.5996377468109131,0.0039969822,-25.87455530166626
144,176128,86,1222,425,-0.0028619624208658934,0.005275645013898611,300.0,0.048046875,0.3673449158668518,0.0002,227.42782029000006,0.2,-0.0055722505785524845,0.6671735048294067,0.0051357616,-25.87264919281006
145,178176,87,1224,430,-0.0019000061322003603,0.006204542191699147,300.0,0.0853515625,0.367320716381073,0.0002,228.27097576999998,0.2,0.0004689544439315796,0.5829144716262817,0.006819634,-25.87393455505371
147,180224,88,1225,435,-0.004162225592881441,0.005841478263027966,300.0,0.045703125,0.36741307377815247,0.0002,227.89745630999997,0.2,0.0022298842668533325,0.5370909571647644,0.0057851067,-25.875218677520753
148,182272,89,1227,440,-0.002434718795120716,0.004704053094610572,300.0,0.05576171875,0.36747074127197266,0.0002,227.89745630999997,0.2,-0.012377176433801651,0.39077574014663696,0.009037139,-25.891969394683837
149,184320,90,1228,445,-0.0033885854529216884,0.0052770153619349,300.0,0.0619140625,0.36737677454948425,0.0002,227.75024828999997,0.2,-0.0062159886583685875,0.47321224212646484,0.006405405,-25.89040288925171
151,186368,91,1230,450,-0.0020753803197294473,0.006545743299648165,300.0,0.057421875,0.36737847328186035,0.0002,227.36559714000003,0.2,-0.005449650343507528,0.5736128091812134,0.007993961,-25.877662467956544
152,188416,92,1232,455,-0.001888734521344304,0.005133491498418153,300.0,0.05947265625,0.3673798441886902,0.0002,228.04639217,0.2,0.0005048243328928947,0.5612480640411377,0.0062987064,-25.88141498565674
154,190464,93,1233,460,-0.0031682693399488924,0.00715423331130296,300.0,0.0310546875,0.3673931956291199,0.0002,228.71727965000005,0.2,-0.0044044493697583675,0.4510512351989746,0.0030125142,-25.881024646759034
155,192512,94,1234,465,-0.00512493567657657,0.007303568348288536,300.0,0.04013671875,0.3673458993434906,0.0002,228.00061388000003,0.2,-0.0023163720034062862,0.5746791362762451,0.006145247,-25.88011226654053
157,194560,95,1236,470,-0.004245060891844332,0.0070359373930841684,300.0,0.0521484375,0.3673267364501953,0.0002,229.99221718,0.2,-0.012114357203245163,0.5795861482620239,0.0066827135,-25.872463130950926
158,196608,96,1237,475,-0.003599187219515443,0.007104757660999894,300.0,0.0595703125,0.3672875463962555,0.0002,229.99221718,0.2,-0.0011081346310675144,0.6293590068817139,0.0052169957,-25.8697566986084
